iter	RMSE
0	0.1440159936
1	0.1422156941
2	0.1404906449
3	0.13905131
4	0.1375842389
5	0.1361078644
6	0.1350156881
7	0.1341037626
8	0.1331219586
9	0.1324588333
10	0.1316993814
11	0.1308371614
12	0.1300653423
13	0.129380706
14	0.1286408516
15	0.1282043246
16	0.127788046
17	0.1274815222
18	0.1271450372
19	0.126779808
20	0.126349485
21	0.1259393395
22	0.1254094222
23	0.1250885978
24	0.1247726507
25	0.124405453
26	0.124099129
27	0.1239079583
28	0.1235345674
29	0.1232997049
30	0.12297012
31	0.1227479627
32	0.1222278297
33	0.1219557333
34	0.1215206282
35	0.1212307686
36	0.1208061506
37	0.1205426056
38	0.1203952815
39	0.1202064065
40	0.1198761262
41	0.1197614362
42	0.1193844739
43	0.1192364433
44	0.1189634979
45	0.1187492717
46	0.1184859723
47	0.1182799383
48	0.1181541103
49	0.1179179893
50	0.1176616988
51	0.1174234131
52	0.1172779577
53	0.1170096008
54	0.1168302406
55	0.1167044616
56	0.1164773573
57	0.1162782394
58	0.1160735607
59	0.1157252002
60	0.1154897831
61	0.1152603567
62	0.1150555028
63	0.1149204436
64	0.1145978487
65	0.1144153847
66	0.1140972434
67	0.1140232396
68	0.1137080893
69	0.1132225901
70	0.1129823699
71	0.1128533841
72	0.1125583624
73	0.1122543968
74	0.1119954369
75	0.1118059763
76	0.1115808273
77	0.1114522186
78	0.1112794821
79	0.1110833542
80	0.1108180901
81	0.1106426306
82	0.1104082402
83	0.1100955997
84	0.1098386479
85	0.1096630493
86	0.1094490299
87	0.1092624859
88	0.1088865775
89	0.1087573209
90	0.1084481344
91	0.1082086927
92	0.1080315443
93	0.107892902
94	0.1075764105
95	0.1074810644
96	0.1074210396
97	0.1072618992
98	0.1069752587
99	0.1066974835
100	0.1066028395
101	0.1062963544
102	0.1062763992
103	0.1061644549
104	0.1060812296
105	0.1059933341
106	0.1056725869
107	0.1054476476
108	0.1053844455
109	0.1051438092
110	0.1050956472
111	0.1048410081
112	0.1046283673
113	0.1043627309
114	0.1038962524
115	0.1035822006
116	0.1033467967
117	0.1029624611
118	0.1026644015
119	0.102498345
120	0.1022840499
121	0.1020932422
122	0.1020515767
123	0.101748577
124	0.1015852661
125	0.1015374057
126	0.1013992738
127	0.1009963593
128	0.1009492812
129	0.1006258364
130	0.1005728299
131	0.1004818378
132	0.1002305917
133	0.1000222604
134	0.09995175924
135	0.09990737857
136	0.09985268866
137	0.09952056386
138	0.09944715738
139	0.09921055404
140	0.09881741335
141	0.09876426892
142	0.09855670365
143	0.09831350509
144	0.09796252583
145	0.09772046595
146	0.09734283799
147	0.09699842968
148	0.09695119424
149	0.09681405013
150	0.09661263324
151	0.09644095489
152	0.09622951154
153	0.0961372819
154	0.09600839522
155	0.0958646163
156	0.09556364866
157	0.09532036076
158	0.09516445704
159	0.09499916449
160	0.09464108781
161	0.09461754053
162	0.09445557211
163	0.09438074438
164	0.09427319142
165	0.09410548612
166	0.09403980628
167	0.09377010409
168	0.09359512269
169	0.09346955294
170	0.09326481199
171	0.09304828726
172	0.09281966837
173	0.09257336809
174	0.09219199649
175	0.09191292639
176	0.09177921884
177	0.09163580243
178	0.09141318729
179	0.0910969879
180	0.0910305723
181	0.09075158653
182	0.09053052814
183	0.09034552907
184	0.08994885773
185	0.08967593764
186	0.089561969
187	0.08943025481
188	0.08936876249
189	0.08911610151
190	0.08876704346
191	0.08873599129
192	0.08868444475
193	0.08856560027
194	0.08843384481
195	0.08819113666
196	0.08799011615
197	0.08771511078
198	0.08759609561
199	0.08736661693
200	0.08709677257
201	0.08699785833
202	0.08680883464
203	0.08648861222
204	0.08608680795
205	0.08600652746
206	0.08571148116
207	0.08550081354
208	0.08531616877
209	0.08507919281
210	0.08505993668
211	0.08490785197
212	0.08462224221
213	0.08451514974
214	0.08437759304
215	0.08434620404
216	0.08428365552
217	0.08418530031
218	0.08414714802
219	0.08397356508
220	0.08395884016
221	0.08374384408
222	0.08369327109
223	0.08364556738
224	0.08349528484
225	0.08344778879
226	0.08343189515
227	0.08336682997
228	0.08326638561
229	0.08313922026
230	0.0830778308
231	0.08288162498
232	0.08256623875
233	0.08238598368
234	0.08231218946
235	0.08221341265
236	0.08185890042
237	0.08167775621
238	0.08161114918
239	0.08137098674
240	0.08132728277
241	0.08115127168
242	0.08089597294
243	0.08079257685
244	0.08069685713
245	0.08046153037
246	0.08016741138
247	0.07988579943
248	0.07968980046
249	0.07957543292
250	0.07945168587
251	0.07919747707
252	0.07909875431
253	0.07893981146
254	0.07892031599
255	0.07880609045
256	0.07862977204
257	0.07838810371
258	0.07821249571
259	0.07797693231
260	0.07775465014
261	0.07768575813
262	0.0775378597
263	0.07733360513
264	0.07716233255
265	0.07692271441
266	0.0768364492
267	0.07670844093
268	0.07659045994
269	0.07637542365
270	0.07632443116
271	0.07623738728
272	0.07604282409
273	0.07593518479
274	0.07571622976
275	0.07557208897
276	0.07534063557
277	0.07521784016
278	0.07513290087
279	0.07506121684
280	0.07487417006
281	0.07470981173
282	0.07447460474
283	0.07443726516
284	0.07441644425
285	0.07424620681
286	0.0740288583
287	0.07401473643
288	0.07392027086
289	0.07368953533
290	0.07367707179
291	0.07360693785
292	0.07353824112
293	0.07340035366
294	0.07336632466
295	0.0733624023
296	0.07329992208
297	0.07324046679
298	0.07322810512
299	0.07313259016
300	0.0729034283
301	0.07284300004
302	0.07279732141
303	0.07269826824
304	0.07256476565
305	0.07233139281
306	0.07220112016
307	0.07217742254
308	0.07216706438
309	0.0719963598
310	0.07171598295
311	0.07161006993
312	0.07149471399
313	0.0713252104
314	0.07122320228
315	0.07094331748
316	0.07093350104
317	0.07078027957
318	0.07051038873
319	0.07037923002
320	0.07018131409
321	0.07011984561
322	0.07003390785
323	0.06992662579
324	0.0698141117
325	0.06969357834
326	0.06968610435
327	0.06955733121
328	0.06949443269
329	0.06935798057
330	0.06919278726
331	0.0690691397
332	0.06889317292
333	0.06880017167
334	0.06872178337
335	0.06866258327
336	0.06863100005
337	0.06855314298
338	0.06849281827
339	0.06827821263
340	0.06818885933
341	0.06812902218
342	0.06802791646
343	0.06794775403
344	0.06776900646
345	0.06754465279
346	0.06748854098
347	0.06731030508
348	0.06709651859
349	0.06696345055
350	0.06682657235
351	0.06674969612
352	0.06659956932
353	0.06652158268
354	0.06645598975
355	0.06638416117
356	0.06631349323
357	0.06629093421
358	0.06620568484
359	0.06601791252
360	0.06588741332
361	0.06576087418
362	0.06570600889
363	0.06555878038
364	0.06550156338
365	0.06537681819
366	0.06526314333
367	0.06509178188
368	0.0650009783
369	0.06494800002
370	0.06479814461
371	0.06461404479
372	0.06441561471
373	0.06436088344
374	0.06428082184
375	0.06425593407
376	0.06420742591
377	0.06419100597
378	0.06417939253
379	0.06417041982
380	0.06414572273
381	0.06405409997
382	0.06387423303
383	0.06368191854
384	0.0636554799
385	0.0634273031
386	0.06327623799
387	0.06319925042
388	0.06294882446
389	0.06279155018
390	0.06266316868
391	0.06264835738
392	0.06245637974
393	0.06234712244
394	0.06229002923
395	0.06225662647
396	0.06207270471
397	0.06200967385
398	0.06195314512
399	0.061838409
400	0.06171029267
401	0.06163852377
402	0.06155832228
403	0.06141254874
404	0.06139111861
405	0.06132400169
406	0.06122275224
407	0.06107861609
408	0.06099630513
409	0.06091426611
410	0.06090086862
411	0.06080423184
412	0.06075235794
413	0.06066472555
414	0.06054018902
415	0.06050211765
416	0.06036215745
417	0.06033102304
418	0.06032280072
419	0.06022978424
420	0.06011785286
421	0.06006743096
422	0.05996611678
423	0.05986332855
424	0.0597857449
425	0.05975415501
426	0.05968438543
427	0.05965016286
428	0.05948227144
429	0.0594400461
430	0.05931926336
431	0.05915817722
432	0.05909708376
433	0.05905445603
434	0.05901286448
435	0.05893527536
436	0.05885008383
437	0.05866273241
438	0.05864407767
439	0.05859472131
440	0.05859042215
441	0.05846636241
442	0.05837169191
443	0.05832193314
444	0.05817934423
445	0.05808322956
446	0.05806558014
447	0.05792638462
448	0.05778025382
449	0.05761027226
450	0.05758985535
451	0.05747499076
452	0.05740330244
453	0.05733634496
454	0.05724085916
455	0.05709576828
456	0.05699610138
457	0.0568762646
458	0.05678652449
459	0.05667933584
460	0.05665757664
461	0.05656066802
462	0.05652064573
463	0.05647888545
464	0.05637304789
465	0.05635495578
466	0.05629701955
467	0.05618281012
468	0.05609506663
469	0.05600417908
470	0.05585724256
471	0.0557235062
472	0.05560992714
473	0.05558597618
474	0.05545936302
475	0.05539679518
476	0.05531455483
477	0.05530132101
478	0.05528370499
479	0.05520192637
480	0.05508045216
481	0.055024878
482	0.05489555155
483	0.05489123322
484	0.05481099082
485	0.05478840288
486	0.05468718203
487	0.0546074394
488	0.05456310177
489	0.05445704897
490	0.05440122658
491	0.05431070467
492	0.05413593457
493	0.05400397178
494	0.05389344245
495	0.05386320014
496	0.05385280324
497	0.05381330595
498	0.05370400068
499	0.05368338674
